SID, PID ,SubClass,LotArea,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,BsmtQual,BsmtCond,TotalBsmtSF,Heating,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,GrLivArea,GarageCars,GarageArea,YrSold,SaleType, SalePrice , living_area,total_area_,ratio_living_to_totalLivingToTotal,ratio_lot_to_living,prie_per_leaving_sf,price_per_total_sf
1867,"$534,127,260.00 ",20,11700,Lvl,AllPub,NWAmes,1Fam,1Story,6,5,1968,1968,Gd,TA,1295,GasA,Y,SBrkr,1295,0,1295,2,528,2007,WD ,"164,000","1,295","2,590",0.5,9.03,$126.64 ,$63.32 
1868,"$534,128,090.00 ",20,11358,Lvl,AllPub,NWAmes,1Fam,1Story,7,7,1972,1987,TA,TA,1124,GasA,Y,SBrkr,1610,0,1610,2,515,2007,WD ,"185,000","1,610","2,734",0.588880761,7.05,$114.91 ,$67.67 
1869,"$534,151,090.00 ",20,9547,Lvl,AllPub,NWAmes,1Fam,1Story,7,6,1993,1993,Gd,TA,1594,GasA,Y,SBrkr,1594,0,1594,2,472,2007,WD ,"188,500","1,594","3,188",0.5,5.99,$118.26 ,$59.13 
1870,"$534,151,180.00 ",60,10530,Lvl,AllPub,NWAmes,1Fam,2Story,7,6,1993,1993,Gd,TA,1148,GasA,Y,SBrkr,1091,984,2075,2,473,2007,WD ,"255,000","2,075","3,223",0.643810115,5.07,$122.89 ,$79.12 
1871,"$534,175,010.00 ",90,11500,Lvl,AllPub,NWAmes,Duplex,1Story,5,6,1976,1976,TA,TA,1680,GasA,Y,SBrkr,1680,0,1680,2,528,2007,WD ,"136,905","1,680","3,360",0.5,6.85,$81.49 ,$40.75 
1872,"$534,176,140.00 ",20,10738,Lvl,AllPub,NWAmes,1Fam,1Story,6,7,1966,1966,TA,TA,1093,GasA,Y,SBrkr,1093,0,1093,2,484,2007,WD ,"158,500","1,093","2,186",0.5,9.82,$145.01 ,$72.51 
1873,"$534,177,210.00 ",20,9600,Lvl,AllPub,NWAmes,1Fam,1Story,7,6,1973,1973,TA,TA,1242,GasA,Y,SBrkr,1242,0,1242,2,528,2007,WD ,"175,500","1,242","2,484",0.5,7.73,$141.30 ,$70.65 
1874,"$534,178,010.00 ",20,10800,Lvl,AllPub,NWAmes,1Fam,1Story,6,5,1963,1963,TA,TA,1052,GasA,Y,SBrkr,1052,0,1052,1,311,2007,COD,"127,000","1,052","2,104",0.5,10.27,$120.72 ,$60.36 
1875,"$534,201,040.00 ",20,8050,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1967,1993,TA,TA,949,GasA,Y,SBrkr,1107,0,1107,1,308,2007,WD ,"127,000","1,107","2,056",0.538424125,7.27,$114.72 ,$61.77 
1876,"$534,202,030.00 ",20,10355,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1967,1967,TA,TA,1214,GasA,Y,SBrkr,1214,0,1214,1,318,2007,WD ,"143,000","1,214","2,428",0.5,8.53,$117.79 ,$58.90 
1877,"$534,204,120.00 ",20,10289,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1965,1965,TA,TA,1073,GasA,Y,SBrkr,1073,0,1073,2,515,2007,WD ,"156,000","1,073","2,146",0.5,9.59,$145.39 ,$72.69 
1878,"$534,252,040.00 ",20,9503,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1958,1983,TA,TA,1024,GasA,Y,SBrkr,1344,0,1344,1,484,2007,WD ,"144,000","1,344","2,368",0.567567568,7.07,$107.14 ,$60.81 
1879,"$534,252,060.00 ",90,10624,Lvl,AllPub,NAmes,Duplex,1Story,5,4,1964,1964,TA,TA,1728,GasA,Y,SBrkr,1728,0,1728,1,352,2007,WD ,"119,000","1,728","3,456",0.5,6.15,$68.87 ,$34.43 
1880,"$534,252,070.00 ",90,10899,Lvl,AllPub,NAmes,Duplex,1Story,4,5,1964,1964,NA,NA,0,GasA,N,SBrkr,1224,0,1224,3,530,2007,WD ,"103,000","1,224","1,224",1,8.9,$84.15 ,$84.15 
1881,"$534,252,110.00 ",20,12342,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1960,1978,TA,TA,978,GasA,Y,SBrkr,1422,0,1422,1,286,2007,WD ,"139,900","1,422","2,400",0.5925,8.68,$98.38 ,$58.29 
1882,"$534,275,170.00 ",20,12772,Lvl,AllPub,NAmes,1Fam,1Story,6,8,1960,1998,TA,TA,958,GasA,Y,SBrkr,958,0,958,1,301,2007,WD ,"151,500",958,"1,916",0.5,13.33,$158.14 ,$79.07 
1883,"$534,275,220.00 ",20,8892,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1960,1960,TA,TA,1065,GasA,Y,SBrkr,1065,0,1065,2,461,2007,COD,"126,500","1,065","2,130",0.5,8.35,$118.78 ,$59.39 
1884,"$534,276,070.00 ",80,10482,Lvl,AllPub,NAmes,1Fam,SLvl,6,8,1958,1958,TA,TA,588,GasA,Y,SBrkr,1138,0,1138,1,264,2007,WD ,"145,000","1,138","1,726",0.659327926,9.21,$127.42 ,$84.01 
1885,"$534,276,160.00 ",20,7535,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1958,1985,TA,TA,912,GasA,Y,SBrkr,912,0,912,1,297,2007,WD ,"120,000",912,"1,824",0.5,8.26,$131.58 ,$65.79 
1886,"$534,276,180.00 ",20,7450,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1956,1956,TA,TA,894,GasA,Y,SBrkr,1074,0,1074,2,396,2007,WD ,"124,000","1,074","1,968",0.545731707,6.94,$115.46 ,$63.01 
1887,"$534,276,290.00 ",20,8339,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1959,1959,NA,NA,0,GasA,Y,SBrkr,882,0,882,1,294,2007,WD ,"106,500",882,882,1,9.45,$120.75 ,$120.75 
1888,"$534,278,150.00 ",20,14357,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1961,1961,TA,TA,864,GasA,Y,SBrkr,1187,0,1187,2,440,2007,CWD,"140,500","1,187","2,051",0.578742077,12.1,$118.37 ,$68.50 
1889,"$534,278,170.00 ",20,8243,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1961,1961,TA,TA,964,GasA,Y,SBrkr,964,0,964,2,784,2007,WD ,"137,500",964,"1,928",0.5,8.55,$142.63 ,$71.32 
1890,"$534,278,190.00 ",20,8680,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1960,1960,TA,TA,894,GasA,Y,SBrkr,894,0,894,1,312,2007,WD ,"117,600",894,"1,788",0.5,9.71,$131.54 ,$65.77 
1891,"$534,401,120.00 ",20,8800,Lvl,AllPub,NAmes,1Fam,1Story,7,6,1966,1966,TA,TA,1174,GasA,Y,SBrkr,1200,0,1200,2,440,2007,CWD,"163,500","1,200","2,374",0.50547599,7.33,$136.25 ,$68.87 
1892,"$534,401,200.00 ",80,9200,Lvl,AllPub,NAmes,1Fam,SLvl,6,5,1965,1965,TA,TA,1042,GasA,Y,SBrkr,1042,0,1042,2,440,2007,WD ,"161,000","1,042","2,084",0.5,8.83,$154.51 ,$77.26 
1893,"$534,403,040.00 ",80,9350,Lvl,AllPub,NAmes,1Fam,SLvl,6,7,1964,1991,Gd,TA,1302,GasA,Y,SBrkr,1302,0,1302,1,309,2007,CWD,"158,000","1,302","2,604",0.5,7.18,$121.35 ,$60.68 
1894,"$534,403,290.00 ",60,8800,Lvl,AllPub,NAmes,1Fam,2Story,6,7,1964,1997,TA,TA,845,GasA,Y,SBrkr,845,1309,2154,2,539,2007,WD ,"224,500","2,154","2,999",0.718239413,4.09,$104.22 ,$74.86 
1895,"$534,403,420.00 ",20,11382,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1964,1964,TA,TA,1130,GasA,Y,SBrkr,1374,0,1374,1,286,2007,WD ,"147,000","1,374","2,504",0.548722045,8.28,$106.99 ,$58.71 
1896,"$534,425,015.00 ",20,22002,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1959,1991,TA,TA,1592,GasA,Y,SBrkr,1652,0,1652,2,510,2007,WD ,"200,000","1,652","3,244",0.509247842,13.32,$121.07 ,$61.65 
1897,"$534,425,080.00 ",20,14585,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1960,1987,TA,TA,1144,GasA,Y,SBrkr,1429,0,1429,2,572,2007,WD ,"181,900","1,429","2,573",0.555382822,10.21,$127.29 ,$70.70 
1898,"$534,427,140.00 ",20,7388,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1959,2002,TA,TA,1063,GasA,Y,SBrkr,1327,0,1327,2,624,2007,WD ,"150,750","1,327","2,390",0.555230126,5.57,$113.60 ,$63.08 
1899,"$534,429,030.00 ",90,9842,Lvl,AllPub,NAmes,Duplex,1Story,4,5,1962,1962,NA,NA,0,GasA,Y,SBrkr,1224,0,1224,2,462,2007,WD ,"101,800","1,224","1,224",1,8.04,$83.17 ,$83.17 
1900,"$534,430,090.00 ",20,8280,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1950,1950,TA,TA,932,GasA,Y,FuseA,932,0,932,1,306,2007,WD ,"124,000",932,"1,864",0.5,8.88,$133.05 ,$66.52 
1901,"$534,431,020.00 ",45,12172,Lvl,AllPub,NAmes,1Fam,1.5Unf,5,7,1940,1996,TA,TA,822,GasA,Y,SBrkr,908,0,908,2,512,2007,WD ,"138,500",908,"1,730",0.524855491,13.41,$152.53 ,$80.06 
1902,"$534,450,090.00 ",20,5000,Low,AllPub,BrkSide,1Fam,1Story,1,3,1946,1950,NA,NA,0,GasA,N,FuseF,334,0,334,0,0,2007,WD ,"39,300",334,334,1,14.97,$117.66 ,$117.66 
1903,"$534,450,110.00 ",20,5000,Lvl,AllPub,BrkSide,1Fam,1Story,3,3,1946,1950,Fa,Fa,666,GasA,N,SBrkr,666,0,666,0,0,2007,WD ,"64,500",666,"1,332",0.5,7.51,$96.85 ,$48.42 
1904,"$534,451,020.00 ",50,3500,Lvl,AllPub,BrkSide,1Fam,1.5Fin,3,5,1945,1950,TA,TA,370,GasA,N,FuseA,442,228,670,0,0,2007,WD ,"64,000",670,"1,040",0.644230769,5.22,$95.52 ,$61.54 
1905,"$534,453,080.00 ",20,5175,Lvl,AllPub,BrkSide,1Fam,1Story,5,8,1958,2000,TA,TA,808,GasA,Y,SBrkr,808,0,808,1,308,2007,COD,"112,000",808,"1,616",0.5,6.4,$138.61 ,$69.31 
1906,"$534,475,170.00 ",60,9500,Lvl,AllPub,NAmes,1Fam,2Story,6,6,1964,1978,TA,TA,816,GasA,Y,SBrkr,1127,850,1977,2,540,2007,WD ,"165,000","1,977","2,793",0.707841031,4.81,$83.46 ,$59.08 
1907,"$534,476,080.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1955,1955,TA,TA,1078,GasA,Y,SBrkr,1150,0,1150,1,288,2007,WD ,"144,000","1,150","2,228",0.516157989,8.35,$125.22 ,$64.63 
1908,"$534,478,140.00 ",90,11345,Lvl,AllPub,NAmes,Duplex,2Story,5,5,1948,1950,TA,TA,928,GasA,Y,FuseA,928,992,1920,2,400,2007,WD ,"137,000","1,920","2,848",0.674157303,5.91,$71.35 ,$48.10 
1909,"$534,479,120.00 ",50,9492,Lvl,AllPub,NAmes,1Fam,1.5Fin,5,5,1941,1950,TA,TA,768,GasA,Y,SBrkr,968,408,1376,1,240,2007,WD ,"105,000","1,376","2,144",0.641791045,6.9,$76.31 ,$48.97 
1910,"$534,479,140.00 ",70,9480,Lvl,AllPub,NAmes,1Fam,2Story,5,7,1942,1995,TA,TA,728,GasA,Y,SBrkr,888,756,1644,1,312,2007,WD ,"146,500","1,644","2,372",0.693086003,5.77,$89.11 ,$61.76 
1911,"$535,101,150.00 ",90,8668,Lvl,AllPub,NAmes,Duplex,1Story,5,5,1968,1968,TA,TA,1560,GasA,Y,SBrkr,1560,0,1560,3,792,2007,WD ,"126,000","1,560","3,120",0.5,5.56,$80.77 ,$40.38 
1912,"$535,102,010.00 ",85,10050,Lvl,AllPub,NAmes,1Fam,SFoyer,5,6,1966,1966,TA,TA,793,GasA,Y,SBrkr,1280,0,1280,2,432,2007,WD ,"175,000","1,280","2,073",0.617462615,7.85,$136.72 ,$84.42 
1913,"$535,105,110.00 ",80,9600,Lvl,AllPub,NAmes,1Fam,SLvl,6,5,1961,1961,TA,TA,1218,GasA,Y,SBrkr,1254,0,1254,2,525,2007,WD ,"158,500","1,254","2,472",0.507281553,7.66,$126.40 ,$64.12 
1914,"$535,106,140.00 ",20,10150,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1958,1958,TA,TA,912,GasA,Y,FuseA,912,0,912,1,275,2007,COD,"114,500",912,"1,824",0.5,11.13,$125.55 ,$62.77 
1915,"$535,106,180.00 ",50,11344,Lvl,AllPub,NAmes,1Fam,1.5Fin,5,5,1958,1958,TA,TA,874,GasW,Y,FuseA,874,650,1524,1,315,2007,WD ,"144,000","1,524","2,398",0.635529608,7.44,$94.49 ,$60.05 
1917,"$535,151,020.00 ",20,8760,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1957,1999,TA,TA,936,GasA,Y,SBrkr,936,0,936,1,315,2007,WD ,"141,000",936,"1,872",0.5,9.36,$150.64 ,$75.32 
1918,"$535,151,100.00 ",20,6860,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1956,1956,TA,TA,1008,GasA,Y,SBrkr,1008,0,1008,1,308,2007,WD ,"131,000","1,008","2,016",0.5,6.81,$129.96 ,$64.98 
1919,"$535,151,110.00 ",20,8250,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1963,1963,TA,TA,1053,GasA,Y,SBrkr,1053,0,1053,2,692,2007,WD ,"142,100","1,053","2,106",0.5,7.83,$134.95 ,$67.47 
1920,"$535,152,060.00 ",20,8176,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1958,1992,TA,TA,1056,GasA,Y,SBrkr,1056,0,1056,1,308,2007,WD ,"139,000","1,056","2,112",0.5,7.74,$131.63 ,$65.81 
1921,"$535,154,080.00 ",20,9750,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1958,1958,TA,TA,1442,GasA,Y,SBrkr,1442,0,1442,1,301,2007,COD,"157,900","1,442","2,884",0.5,6.76,$109.50 ,$54.75 
1922,"$535,155,110.00 ",20,9250,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1954,2005,TA,TA,1056,GasA,Y,SBrkr,1056,0,1056,1,260,2007,WD ,"139,400","1,056","2,112",0.5,8.76,$132.01 ,$66.00 
1923,"$535,176,070.00 ",20,11988,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1957,1957,TA,TA,1244,GasA,Y,FuseA,1244,0,1244,1,336,2007,WD ,"150,000","1,244","2,488",0.5,9.64,$120.58 ,$60.29 
1924,"$535,177,020.00 ",20,9100,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1960,1960,TA,TA,1144,GasA,Y,SBrkr,1144,0,1144,1,336,2007,WD ,"120,000","1,144","2,288",0.5,7.95,$104.90 ,$52.45 
1925,"$535,177,110.00 ",20,9736,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1957,1969,TA,TA,1331,GasA,Y,SBrkr,1721,0,1721,2,464,2007,WD ,"174,850","1,721","3,052",0.563892529,5.66,$101.60 ,$57.29 
1926,"$535,179,120.00 ",20,9770,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1957,1957,TA,TA,922,GasA,Y,FuseA,922,0,922,1,308,2007,WD ,"116,000",922,"1,844",0.5,10.6,$125.81 ,$62.91 
1927,"$535,180,030.00 ",20,10152,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1956,1956,TA,TA,1048,GasA,Y,SBrkr,1048,0,1048,1,286,2007,WD ,"135,000","1,048","2,096",0.5,9.69,$128.82 ,$64.41 
1928,"$535,181,030.00 ",20,12155,Lvl,AllPub,NAmes,1Fam,1Story,6,3,1970,1970,Gd,TA,1657,GasA,Y,SBrkr,1657,0,1657,2,484,2007,WD ,"163,500","1,657","3,314",0.5,7.34,$98.67 ,$49.34 
1929,"$535,181,140.00 ",20,12198,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1955,1975,TA,TA,1204,GasA,Y,SBrkr,1411,0,1411,1,310,2007,COD,"130,000","1,411","2,615",0.53957935,8.64,$92.13 ,$49.71 
1930,"$535,300,040.00 ",20,10050,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1955,1955,TA,TA,1216,GasA,Y,SBrkr,1216,0,1216,1,336,2007,WD ,"129,500","1,216","2,432",0.5,8.26,$106.50 ,$53.25 
1931,"$535,301,060.00 ",20,11556,Lvl,AllPub,NAmes,1Fam,1Story,5,9,1953,2006,TA,TA,864,GasA,Y,SBrkr,1154,0,1154,1,336,2007,WD ,"142,000","1,154","2,018",0.57185332,10.01,$123.05 ,$70.37 
1932,"$535,301,160.00 ",90,8078,Lvl,AllPub,NAmes,Duplex,1Story,5,5,1958,1958,TA,TA,1560,GasA,Y,SBrkr,1560,0,1560,2,484,2007,WD ,"128,600","1,560","3,120",0.5,5.18,$82.44 ,$41.22 
1933,"$535,302,070.00 ",20,10950,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1952,1952,TA,TA,948,GasA,Y,SBrkr,948,0,948,2,410,2007,WD ,"125,000",948,"1,896",0.5,11.55,$131.86 ,$65.93 
1934,"$535,304,170.00 ",20,7942,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1953,1953,TA,TA,1040,GasA,Y,FuseF,1040,0,1040,1,293,2007,WD ,"136,000","1,040","2,080",0.5,7.64,$130.77 ,$65.38 
1935,"$535,305,180.00 ",20,8923,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1953,2006,TA,TA,1008,GasA,Y,SBrkr,1008,0,1008,1,240,2007,WD ,"134,500","1,008","2,016",0.5,8.85,$133.43 ,$66.72 
1936,"$535,325,090.00 ",20,8540,Lvl,AllPub,NAmes,1Fam,1Story,5,8,1956,2003,TA,TA,925,GasA,Y,SBrkr,925,0,925,1,252,2007,WD ,"127,000",925,"1,850",0.5,9.23,$137.30 ,$68.65 
1937,"$535,325,280.00 ",80,7134,Bnk,AllPub,NAmes,1Fam,SLvl,5,5,1955,1955,TA,TA,384,GasA,Y,SBrkr,1360,0,1360,2,572,2007,WD ,"130,000","1,360","1,744",0.779816514,5.25,$95.59 ,$74.54 
1938,"$535,325,320.00 ",50,7150,Lvl,AllPub,NAmes,1Fam,1.5Fin,4,4,1955,1955,TA,TA,1190,GasA,Y,SBrkr,1040,500,1540,1,352,2007,WD ,"115,000","1,540","2,730",0.564102564,4.64,$74.68 ,$42.12 
1939,"$535,327,160.00 ",20,8400,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1955,1955,TA,TA,923,GasA,Y,SBrkr,925,0,925,1,390,2007,WD ,"116,900",925,"1,848",0.500541126,9.08,$126.38 ,$63.26 
1940,"$535,327,200.00 ",20,13300,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1956,2000,Gd,TA,928,GasA,Y,SBrkr,928,0,928,1,252,2007,WD ,"132,000",928,"1,856",0.5,14.33,$142.24 ,$71.12 
1941,"$535,353,050.00 ",20,9532,Lvl,AllPub,NAmes,1Fam,1Story,4,6,1953,1953,TA,TA,1105,GasA,Y,SBrkr,1647,0,1647,1,280,2007,WD ,"153,000","1,647","2,752",0.598473837,5.79,$92.90 ,$55.60 
1942,"$535,353,130.00 ",20,15783,Lvl,AllPub,OldTown,1Fam,1Story,5,5,1952,1952,TA,TA,924,GasA,Y,SBrkr,924,0,924,1,420,2007,WD ,"112,500",924,"1,848",0.5,17.08,$121.75 ,$60.88 
1943,"$535,353,160.00 ",50,14190,Lvl,AllPub,OldTown,1Fam,1.5Fin,4,7,1890,2006,Fa,TA,925,GasA,Y,SBrkr,1000,544,1544,0,0,2007,WD ,"138,000","1,544","2,469",0.625354394,9.19,$89.38 ,$55.89 
1944,"$535,354,050.00 ",45,9600,Lvl,AllPub,NAmes,1Fam,1.5Unf,5,7,1949,2003,TA,TA,845,GasA,Y,SBrkr,893,0,893,2,576,2007,WD ,"135,000",893,"1,738",0.513808976,10.75,$151.18 ,$77.68 
1945,"$535,354,260.00 ",50,12099,Lvl,AllPub,NAmes,1Fam,1.5Fin,5,6,1953,2004,TA,Fa,1216,GasA,Y,SBrkr,1216,0,1728,1,371,2007,WD ,"156,000","1,216","2,432",0.5,9.95,$128.29 ,$64.14 
1947,"$535,375,130.00 ",50,10134,Lvl,AllPub,OldTown,1Fam,1.5Fin,5,6,1940,1950,TA,TA,735,GasA,Y,FuseA,735,299,1034,1,240,2007,WD ,"109,000","1,034","1,769",0.584511023,9.8,$105.42 ,$61.62 
1948,"$535,376,010.00 ",45,5500,Lvl,AllPub,OldTown,1Fam,1.5Unf,4,6,1956,1956,TA,TA,882,GasA,Y,SBrkr,882,0,882,0,0,2007,WD ,"103,200",882,"1,764",0.5,6.24,$117.01 ,$58.50 
1950,"$535,379,060.00 ",30,10800,Lvl,AllPub,OldTown,1Fam,1Story,4,6,1927,2007,TA,TA,656,GasA,Y,SBrkr,968,0,968,1,216,2007,WD ,"64,500",968,"1,624",0.596059113,11.16,$66.63 ,$39.72 
1951,"$535,379,110.00 ",70,10800,Lvl,AllPub,OldTown,1Fam,2Story,5,9,1895,1999,Gd,TA,736,GasA,Y,SBrkr,751,783,1534,0,0,2007,WD ,"148,000","1,534","2,270",0.675770925,7.04,$96.48 ,$65.20 
1953,"$535,402,140.00 ",80,10090,Lvl,AllPub,NAmes,1Fam,SLvl,7,5,1963,1999,TA,TA,725,GasA,Y,SBrkr,1035,616,1651,1,276,2007,WD ,"172,000","1,651","2,376",0.69486532,6.11,$104.18 ,$72.39 
1955,"$535,403,030.00 ",20,8300,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1968,1968,TA,TA,952,GasA,Y,SBrkr,952,0,952,1,288,2007,WD ,"128,500",952,"1,904",0.5,8.72,$134.98 ,$67.49 
1957,"$535,450,190.00 ",50,8064,Lvl,AllPub,NAmes,1Fam,1.5Fin,5,7,1949,2006,TA,TA,672,GasA,Y,SBrkr,672,252,924,2,576,2007,WD ,"122,900",924,"1,596",0.578947368,8.73,$133.01 ,$77.01 
1958,"$535,450,220.00 ",20,11664,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1948,1950,TA,Fa,1082,GasA,Y,SBrkr,1082,0,1082,1,240,2007,WD ,"119,200","1,082","2,164",0.5,10.78,$110.17 ,$55.08 
1959,"$535,450,310.00 ",50,10496,Lvl,AllPub,NAmes,1Fam,1.5Fin,6,6,1949,1950,TA,TA,1040,GasA,Y,SBrkr,1168,678,1846,1,315,2007,WD ,"143,000","1,846","2,886",0.63963964,5.69,$77.46 ,$49.55 
1960,"$535,451,040.00 ",20,7200,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1950,1950,TA,TA,876,GasA,Y,SBrkr,988,0,988,1,276,2007,WD ,"119,000",988,"1,864",0.530042918,7.29,$120.45 ,$63.84 
1961,"$535,451,100.00 ",20,7200,Lvl,AllPub,NAmes,1Fam,1Story,5,3,1950,1950,TA,TA,864,GasA,Y,FuseA,1238,0,1238,1,357,2007,WD ,"102,000","1,238","2,102",0.588962892,5.82,$82.39 ,$48.53 
1962,"$535,451,110.00 ",20,7200,Lvl,AllPub,NAmes,1Fam,1Story,5,8,1950,2002,TA,TA,864,GasA,Y,SBrkr,864,0,864,2,720,2007,WD ,"129,000",864,"1,728",0.5,8.33,$149.31 ,$74.65 
1964,"$535,453,080.00 ",20,7500,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1959,2003,TA,TA,1040,GasA,Y,SBrkr,1040,0,1040,1,286,2007,WD ,"152,000","1,040","2,080",0.5,7.21,$146.15 ,$73.08 
1965,"$535,453,150.00 ",20,7315,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1958,1958,TA,TA,1170,GasA,Y,SBrkr,1170,0,1170,1,338,2007,WD ,"140,000","1,170","2,340",0.5,6.25,$119.66 ,$59.83 
1967,"$535,457,020.00 ",20,8000,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1960,1960,TA,TA,1377,GasA,Y,SBrkr,1377,0,1377,1,351,2007,WD ,"156,500","1,377","2,754",0.5,5.81,$113.65 ,$56.83 
1968,"$535,457,040.00 ",90,8000,Lvl,AllPub,NAmes,Duplex,1Story,5,4,1961,1961,TA,TA,1800,GasA,N,SBrkr,1800,0,1800,0,0,2007,WD ,"141,000","1,800","3,600",0.5,4.44,$78.33 ,$39.17 
1969,"$535,457,050.00 ",20,7000,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1961,1961,NA,NA,0,GasA,Y,SBrkr,925,0,925,1,300,2007,WD ,"99,000",925,925,1,7.57,$107.03 ,$107.03 
1970,"$535,476,360.00 ",60,9760,Lvl,AllPub,NAmes,1Fam,2Story,6,8,1964,1993,TA,TA,822,GasA,Y,SBrkr,1020,831,1851,2,440,2007,WD ,"187,000","1,851","2,673",0.692480359,5.27,$101.03 ,$69.96 
1971,"$535,477,130.00 ",60,7590,Lvl,AllPub,NAmes,1Fam,2Story,5,5,1962,1962,TA,TA,864,GasA,Y,SBrkr,876,936,1812,1,264,2007,WD ,"169,500","1,812","2,676",0.677130045,4.19,$93.54 ,$63.34 
1972,"$535,477,180.00 ",20,6600,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1962,1962,TA,TA,864,GasA,Y,SBrkr,864,0,864,1,294,2007,WD ,"125,500",864,"1,728",0.5,7.64,$145.25 ,$72.63 
1973,"$535,478,040.00 ",85,6760,Lvl,AllPub,NAmes,1Fam,SFoyer,5,5,1962,1962,TA,TA,896,GasA,Y,SBrkr,936,0,936,1,288,2007,WD ,"130,000",936,"1,832",0.510917031,7.22,$138.89 ,$70.96 
2006,"$903,201,090.00 ",40,6854,Bnk,AllPub,BrkSide,1Fam,1Story,5,7,1925,1994,TA,TA,756,GasA,N,FuseA,916,144,1060,1,308,2007,WD ,"136,500","1,060","1,816",0.583700441,6.47,$128.77 ,$75.17 
2008,"$903,205,085.00 ",30,8731,Lvl,AllPub,BrkSide,1Fam,1Story,5,5,1920,1950,TA,TA,915,GasA,Y,SBrkr,1167,0,1167,2,495,2007,WD ,"144,000","1,167","2,082",0.560518732,7.48,$123.39 ,$69.16 
2009,"$903,206,170.00 ",50,8737,Bnk,AllPub,BrkSide,1Fam,1.5Fin,6,7,1923,1950,Gd,TA,1065,GasA,Y,FuseA,915,720,1635,2,440,2007,WD ,"210,000","1,635","2,700",0.605555556,5.34,$128.44 ,$77.78 
2023,"$903,400,040.00 ",70,13515,Lvl,AllPub,BrkSide,1Fam,2Story,6,6,1919,1950,TA,TA,764,GasA,Y,FuseA,1060,764,1824,2,520,2007,WD ,"180,500","1,824","2,588",0.704791345,7.41,$98.96 ,$69.74 
2024,"$903,401,070.00 ",50,8850,Bnk,AllPub,BrkSide,1Fam,1.5Fin,6,7,1920,1950,TA,TA,768,GasA,Y,SBrkr,752,624,1376,2,576,2007,WD ,"165,000","1,376","2,144",0.641791045,6.43,$119.91 ,$76.96 
2026,"$903,425,280.00 ",70,8730,Lvl,AllPub,BrkSide,1Fam,2Story,6,7,1915,2003,TA,TA,698,GasA,Y,FuseA,698,698,1396,1,384,2007,WD ,"153,575","1,396","2,094",0.666666667,6.25,$110.01 ,$73.34 
2045,"$904,100,100.00 ",70,12888,Bnk,AllPub,Sawyer,1Fam,2Story,7,8,1937,1980,TA,TA,1005,GasA,Y,SBrkr,1262,1005,2267,2,498,2007,WD ,"219,000","2,267","3,272",0.692848411,5.69,$96.60 ,$66.93 
